text,label
"Tilasin tuotteen uskoen sivulla luvattuun nopeaan toimitukseen. Kas, sitten tulikin viesti, että toimitus viivästyy usealla viikolla. Jos olisin tämän tiennyt, olisin hankkinut tuotteen muualta!",0
"Olen taysin tyytyvainen kaikkeen,tosi nopeaa jaja sujuvaa kaupantekoa.",1
"Loisto asiakaspalvelu, hyviä vinkkejä yrittäjyyteen, Helppo käyttää! Tykkään!",1
"Kiva tuote käsitöiden nimikoimiseen, tuote vastasi sitä miltä se suunnittelussa näyttikin.",1
"Luulen että tule toistekin ostamaan Spartoosta, koska heidän valikoima on niin ihanan laaja että varmasti tulee löydettyä itselleen juuri se sopiva kenkäpari/laukku. Eikä oikeastaan mitään ongelmia tullut, olin vain itse niin kärsimätön että lähetys tuntui kestävän aivan älyttömän kauan. :) Vaikka se tulikin luvatusti alle 8:ssa päivässä.",1
Nopeja toimitus. Ja kaiken puolen hyvä ja helppo tehä ostokset. 😀,1
"Aika kauan saa odotella tilausta. Kyselin tilauksen perään niin automaattiviesti vastasi vain että ""kiitos yhteydenotosta"".",0
Arvosana 10+,1
"Todella epäselvä arvioitu toimitusaika, sekä varsin hidas tuotteiden lähetys. Tein ostopäätöksen luvatun toimitusajan perusteella, mutta todellinen aika olikin paljon pidempi. Muissa verkkokaupoissa tuotteet lähetetään mahdollisimman pian, mutta Kodin1 tuotteilla on lähetysaikaikkunat, jotka tuntuvat olevan kuukausien pituisia.En tilaa enää mitään tästä kaupasta.",0
"Hyvät tuotteet, hyvä hinta-laatusuhde, ystävällinen asiakaspalvelu, toimitukset tulevat aina oikein, toimituksen nopeudessa vähän parantamisen varaa. ( Jos ei käytetä Postin palveluita, saattaisi toimia paremmin. )",1
Tilaus on hyvin mutta kuljatus on hidas kesta monta viikko,1
"Aivan erinomainen tilaus- ja laskutustapa. Ainakin minun kohdallani on toiminut hyvin. Mutta palautuskäytäntö, kuinka toimii?En uskalla enää tilata mitään kallista tuotetta. Kävi niin, että kukaan ei ostanut/huolinut ostosta. Palautin tuotteen ja postimaksu oli 34,40 e.Menikö oikein, että Suomesta palautettu tuote maksaa ostosksen hinnan???T. Jatta Siltanen",1
Kyllä niin on huonontunut palvelu tässäkin nettikaupassa..ei pysty tilaamaan kun ei voi valita maksutapaa ja se että maksut ovat laittaneet yhtä huonon palvelun paikkaan qlirolle. Jos on ongelmia siihenhän ei saa vastausta mistään en suosittele,0
"Toimitusvarma, kotiinkuljetus plussaa",1
"Kulta.fi ei maksanut tuotteesta lupaamaansa hintaa. Kun en ollut tyytyväinen saamaani hintaan ja ryhdyin perumaan kauppoja, hinta nousi puhelikeskustelun aikana reilusti mutta jäi vielä alle sen mitä netti-sivuilla luvattiin. Alhaista hintaa perusteltiin ensin kullan hinnan nopealla vaihtelulla ja toimituskuluilla (1,3e/gramma).",0
"Tuotekortti olisi mahtunut kirjekuoreen, mutta se pakattiin pakettiin ja sen takia Posti ei toimittanut sitä kotiin asti.",0
Olen tyytyväinen,1
Ikävä kyllä jokaisesta tilauksesta kyllä joutunut reklamaation tekemään.,0
"Hidas toimitus, luvataan 1-2päivää, viikko tilauksen jälkeen muistutin heitä ja pyysivät vaan odottamaan lisää, ja tässä sitä sitten odotellaan. Ensi kerralla tilaan eri paikasta.",0
"Todella hidasta toimintaa!!24MX:n arvioitu toimitusaika tuotteille oli max 4vrk. Kaiken kaikkiaan kesti 1,5kk ennen kuin maksetut tavarat oli asiakkaalla. Kuljetukseen meni tuosta ajasta vain 2-4vrk.En suosittele tätä firmaa kenellekään.",0
"Hyvä laatu, luotettava toimitus. Tilasin varuilta XXL vaikka kokoni on XL. Oli sopiva.",1
"Tein tilauksen viikko sitten ja tänään sain ilmoituksen Lehtikuninkaalta että tilaukseni on käsittelyssä. Olen todella pettynyt, tilasin lehden lahjaksi äitienpäiväksi ja se ei nyt juhlapäiväksi ehtinyt vaikka tilaus tehty viikko sitten. No, tilauskäsittely-ilmoitus tuli sentään äitienpäiväksi..Harmittaa, varsinkin kun lankesin televisiossa pyörineeseen mainoskampanjaanne ""Tilaa lahja äidille äitienpäiväksi"".Koronaan on turha tässä tapauksessa vedota, jos ei resurssit riitä niin ei kannata mainostaa äitienpäiväkampanjalla kun lahjalehti ei ehdi siihen mennessä. Tuskin käytän toiste Lehtikuningasta.",0
Olen hyvin tyytyväinen Logitechin Unifying USB- vastaanottimen toimintaan. Vain ajurien lataus ja asennus ohjeen mukaan. Väärin ei voi toimia noudattaen ohjeita. Toimii hyvin luotettavasti.Yrityksen toiminta kiitettävää.,1
"Koottavan kalusteen suurimmat levyt murtuneet poikki. Huomasin vasta kun olin koonnut usemman tunnin vetolaatikoita, joiden levyt olivat pahvilaatikossa päällä. Murtuneet levyt olivat pahvilaatikon pohjalla. Koko pakkaus myös täynnä sahanpurua, joten kalusteen levyt täynnä koloja ja jotain liiman tapaista. Reklamoin mutten ole saanut vastausta. En tilaa enää koskaan mitään.",0
"Halvat hinnat,toimitus aika hieman pitkä.",1
Nopea toimitus ja tuotteet niinkuin pitikin,1
Hyvä tuotevalikoima. Helppo ostaa. Ainut miinus oli hidas toimitus n.10pv.,1
"Huhhhuh mitä touhua. Jos tilaat tämän kautta niin pidä huoli, että et tee tilauksessasi varmastikaan pienintäkään virhettä (esim. nimeä kirjoittaessa) ja ettei sinulla ole mitään erityistoiveita, kuten istumapaikan saamista alle 2v lapselle tai ylipäätään mitään, mikä vaatii asiakaspalvelua. Mikään ei nimittäin tunnu onnistuvan ja lentoyhtiöt heiluttelee käsiään, että hekään eivät voi auttaa: koska tilaus on tehty ns. matkatoimiston kautta niin myös kaikki muutokset pitää mennä heidän kauttaan. Nyt vaarana, ettemme pääse jo maksetuilla lennoillamme New Yorkiin, koska puolisoni sukunimi on jostakin mystisestä syystä etunimen paikalla ja etunimi + toinen nimi sukunimen paikalla. Nimenmuutoslomakkeet täytetty ja maksut maksettu sillä seurauksella, että lafka teki uuden varauksen, mutta edelleen väärällä nimellä eikä edes kertonut meille uutta varaustunnusta. Paljon paljon paljon järkevämpää ja lopulta myös edullisempaa olisi ollut ostaa liput Finnairin kautta. Yleensä aina googlaan muiden kokemuksia eri paikoista ennen kuin käytän itselle uusia verkkomyyjiä. Tällä kertaa se unohtui ja kyllä se on kostautunut. Toivottavasti joku muu fiksumpi lukee tämän ajoissa eikä tilaa ticket.fi:n kautta. Liput kyllä tulee, mutta mahdollisesti väärillä nimillä eikä nimenkorjaantumisesta ja siten matkalle pääsemisestä ole mitään takeita. Meidän lennot lähtee pian, ticket.fi:n puhelinpalvelu on tässä välissä auki vielä to klo 11-14, ma-ti klo 11-14, mutta edellisen nimenmuutoslomakkeen käsittely kesti 3vrk ja väärin meni.",0
Kaikin puolin nopeat ja helpot kaupat!,1
Hyvää jälkeä ja nopea toimitus!,1
"Selkeät nettisivut, lähetykset toimineet luotettavasti, kuvat laadukkaita, kaipaan kuvakokoa 10 x 13, toivottavasti tarjoukset koskevat jatkossakin myös tavallisia kuvia, ei vain kuvakirjoja ja muita tuotteita",1
Jo toistamiseen tuote ei saapunut jouluksi vaikka luvattiin,0
"Hieno tuote oli, vaimo oli tyytyväinen",1
"asia toimi erittäin vaikeasti, enkä koskaan täsmällistä    vastaus",0
Huonoin ja hitain asiakaspalvelu. Puhelin systeemi huonoimmasta päästä sillä jatkauvasti varattu ja ei ole soittopyyntöä. Eivät vastaa sähköposteihin.,0
Toumitus kestä lian pitkä,1
Sain sunnuntaina nopeasti supportin kautta apua  ongelmaani joka johtui osaamattomuudestani. Lisäksi asiointi vaikutti todella luotettavalta ja toimi suhteelisen nopeasti.,1
Ei tietosa missä renkaat seilaa. Ei vastausta asiakaspalvelusta. Vain jokin automaattinen vastaus joka ei kerro meille mitään.,0
Olen ollut aina tyytyväinen sekä tuotteisiin että tilauksen tekemisen helppouteen/toimituksen nopeuteen monen vuoden ajan!,1
Nopea ja ok hinta,1
"Peruu tilauksia unpimähkään, asiakaspalvelu vastaa viikon viiveellä.Ei kannata asioida ollenkaan tämän firman kanssa",0
"Tuote jonka tilasin oli kuvan mukainen, Toimitus nopeaa ja sujuvaa kaikinpuolin.",1
"Asiantunteva, osaava ja ystävällinen nainen. Mitään ei jäänyt epäselväksi.Asiakaspalvelu siis täysi 10",1
*Tilatut renkaat tuli taas muutamassa päivässä.Virheellisesti tekemäni ja maksamani tilauksen rahat palautuivat tililleni samoin.Kiitos!,1
Helppo ja hyvä paikka ostaa lasit,1
"Ei ole muuta puutetta, kuin toimitusaika. Muuten täydellisesti toimiva verkkokauppa!",1
"Sähköpostiviestit pitivät koko ajan tasalla tilauksesta paketin kulkuun. Vaikka jostain syystä en saanutkaan tekstiviestiä paketin saapumisesta noutopisteeseen,pystyin seuraamaan tilannetta sähköpostiviestissä tulleen tilausseurannan avulla.",1
"Tilasin joulun pyhinä uuden läppärin. Erityiskiitos ennakkolasku -maksutavasta! Tuote tuli erittäin nopeasti ja erinomaisessa kunnossa. Tuotteiden takuuaika on myös mainitsemisen arvoinen asia, kiitos. Olen positiivisesti yllättynyt ja aion käyttää teitä jatkossakin hankintoihini.",1
Ensimmäisestä.ostoksesta luvattiin 10 % extra alennus. Ei tullut.,0
"Tuote ei vastannut sitä mitä mainoksessa luvattiin, täysin erilainen,tuotenumerot oli samat, muuta sitten ei ollutkaan",0
"Vain yksi tuote kahdeksasta tilatusta oli uudenveroinen ja virheetön. Muissa tuotteissa oli naarmuja, puuttui maalia/väriä tms. vikoja.",0
Kirjat jotka tilasin tulivat todella nopeasti kotiin asti ja olivat juuri niin hienoja kuin ajattelinkin. Suosittelen!,1
Yhteistyö ja kommunikaatio Kodin1:n ja heidän käyttämässä kuljetuspalvelun välillä takkuaa pahasti. Tilauksen saapuminen uuteen osoitteeseen viivästynyt n. kaksi viikkoa eikä Kodin1 ole onnistunut informoimaan minua tilanteesta vaan olen joutunut soittelemaan perään monta kertaa.,0
"Jostain syystä kuvat aina suttuisia. Otin siis 80x60 kuvan, josta kuva oli rajattu 70x50. Kuva on erittäin tarkka suurellakin näytöllä zoomattuna, mutta suttuista taas tuli. Ikävää",0
Tarjontaa löytyi hyvin ja sivut toimivat erinomaisesti.,1
Mukava asiakaspalvelu. Nopeat ja hyvät kaupat!,1
"Tilasin pyörään uuden sytytysjärjestelmän, mikä sisäsi myös uudet puolat (2 kpl). Tilauksen saapuessa huomasin, että puolien myyntipakkaus oli avattu ja sieltä oli poistettu toinen puola. Pyörästä oli tässä vaiheessa jo purettu vanhat osat pois joten reklamoin virheestä välittömästi. Oletin että puuttuva osa lähetetään saman tien. Oletus oli kuitenkin väärä eli lähes kaksi viikkoa myöhemmin (muutaman välikyselyn jälkeen) sain edelleen vastauksen, että asiaa 'selvitellään' (?!?) jollain 'teknisellä osastolla'. Tein tilauksen toisesta yrityksestä ja noin tunti tilauksen jälkeen sain viestin, että paketti on laitettu postiin. Tuo toinen yritys ei ollut iso kansainvälinen toimija vaan pieni kotimainen yritys. Tästä voinee oppia ainakin sen, että mitä suurempi yritys, niin sitä vähemmän yksittäinen asiakas kiinnostaa.",0
Mukana ei tullut palautusohjeita.Asiakas maksaa itse palautuksen.Tuote oli väärä.,0
"Tilasin ajotennarit,sain vialliset kengät(toisessa kengässä patti sisäpuolella)Minulta vaadittiin kuva kengästä???? yritin selittää että vika on sisäpuolellaeikä näy ulospäin,ei auttanut kuva piti lähettää.Nyt olen odottanut 2 viikkoa ettäsaisin palauttaa vialliset kengät??? Tämä mystinen ”reklamaatio osasto”ei kuulemma ole vielä käsitellyt asiaa,siis kahdessa viikossa ei ole tapahtunut mitään.Älkää ostako mitään täältä,he eivät välitä asiakkaasta paskan vertaa.",0
Asiallinen ja nopea toimitus. Juuri sellainen kuin pitäisikin olla. En osta koskaan enää valmispaitoja.,1
"Verkkokauppa on monipuolinen ja laaja. Paljon hyviä tuotemerkkejä.Valitettavasti paketin toimitukset ym. jotta tuote saapuu perille ovat surkeat. Olen tilannut useasti eri tuotteita, kahdesti paketti ei ole saapunut edes postiin ja tilaamani tuote on ehtinyt loppua, kun olen pakettini perään kysellyt.",0
"Tilaamani tavarat tulivat hämmästyttävän nopeasti, ja ne oli hyvin pakattu, joten kaikki tuli ehjänä perille. Tilaan heiltä varmaan toistekin.",1
"Olen todella tyytyväinen Cocopandaan. Tuotteet olivat pakattu nätisti ja mukana tuli testereitä ja tikkari, mikä oli söpö lisä. Tilaukseni tuli neljässä arkipäivässä, mikä vastasi odotuksiani. Aion tilata Cocopandalta jatkossakin, sillä kaikki oli niin vaivatonta ja yritykseltä tulee hyviä vinkkejä sähköpostiin!",1
Olen tyytyväinen tuotteeseen.,1
"Kukat äitini ystävän uurnanlaskuun, ilmoitin lisätiedoissa toivovani toimitusta klo 9-12 välillä, koska uurnanlasku viereisessä kunnassa klo 15. Paikallinen villähteeläinen yrittäjä sanojensa mukaan luki lisätietoja kahden jälkeen, kukat toimitettiin 14.31(vahvistus toimituksesta meiliini), mutta tilaus auttamattoman myöhässä, iäkäs äitini hätääntyi kukkien puuttumisesta, vainajan tytär pahastui myös, ymmärettävästi, KAIKKIEN osallisten fiilis rikkoutui, kun kyse oli viimeisestä tervehdyksestä äitini edesmenneelle ystävälle. Ja vielä, tilasin kukkakimpun Auringonhehku, toimitettu kimppu sisälsi tummia lilan sävyisiä krysanteemeja, joita en todellakaan olisi halunnut, koska kuvan mukainen kimppu oli nimensä mukaisesti kellertäväsävyinen kuin aurinko itse. Kimppu oli kyllä runsas, mutta  e i   mielestäni tilaukseni mukainen, Sain Interflorasta rahani takaisin, mutta MIKÄÄN EI KORVAA mielipahaa jota aiheutui kaikille asianosaisille.",0
Iloisen värinen kuvitus ja 5 ja 3 vuotiaille lapsille sopiva. Hahmot ehkä vähän jäykähköjä.9,1
Asikaspalvelu toimii  100% Ystävällinen ja hyvä palvelu Todella tyytyväinen,1
Varsin luotettava firma. Paketin lähteminen Spartoolta kestää yllättävän kauan.,1
"Hyvä laatu, hinta ja erinomainen toimitus ja palautus",1
"Viimeiset 7 kertaa olen saanut tuotteeni saman päivän aikana matkahuollon kautta. Viimeksi tilasin tuotteen aamulla noin klo 8:30 ja tuoteet oli haettavissa klo 15:45 matkahuollosta samana päivänä. Tuotteet ovat myös olleet aina laadukkaita, koska yksikään tuote ei ole hajonnut vielä tähän päivään mennessä. Jos todella haluat rahoillesi vastinetta, niin minä suositelen lämpimästi tätä yritystä kaikille.",1
"Olen erittäin tyytyväinen tuotteeseeni, jonka tilasin. Olen vieläkin aivan haltioissani siitä, miten hyvä tuuri minulle sattuikaan. Olin katsonut nettisivuiltanne edellisenä päivänä kenkiäni, joita etsin. Kokoja ei enää ollu, eikä muissakaan nettikaupoissa ollut. Olin aivan maassa kunnes seuraavana päivänä jatkoin etsinistä ja menin Spartoon sivuille. Yllätykseksi huomasin kengät olevan -20% alennuksessa ja kokojakin löytyi!! Oli aivan pakko tilata heti. Kengät ocat täydelliset, mutta olen hieman pettynyt pari viikkoa kestäneeseen toimituksern. Kiitos.",1
Lähti samana päivänä!,1
"Toimitukset nopeita, hinnat halpoja, palautukset helppoja ja varmaa pohjoismaiden laajin valikoima merkkivaatteita! Ainoa miinus että kuvien sävyt poikkeaa todellisista sävyistä.",1
Lipun oston jälkeen alkoi tulla päivittäin mainoskirjeitä. Niitä en ole saanut peruttua vaikka olen laittanut 3 kertaa peru tilaus.,0
"Kaikki meni erittäin ketterästi ja asiat hoituivat hienosti. 1 tähti  pois, aiemman huonon kokemuksen takia.",1
PostNordin toimitus kuitenkin ontuu pahasti.,1
Saimme jonkun toisen kuvat kuvakirjasnne. Pohjanoteeraus. Missä yksityisyyden suoja?,0
Myös asiakaspalvelu toimii hyvin.,1
Niin.. palvelu ajallisesti on huonontunut merkittävästi ja aika arvio tuotteen toimituksesta on harhaan johtava. Todellinen toimitusaika kuuluisi ilmoittaa 21-30 arkipäivää.,0
"Palautus, -vaihto yksinkertaisemmaksi (palautustarra paketissa valmiiksi)",1
"Varasin lennot 25.6, mutta menolentoa ei vahvistettu 24h tunnin sisällä, joten peruutin lentoni 26.6. Soitettu useaan otteeseen travellinkille, mutta rahojani en ole saanut tähänpäivään menessä takaisin. Reklamaation tein noin kuukausi sitten, mutta ei ole yhteydenottoa tullut.",0
"Ei mitään moitittavaa, kaikki oli kerrottu etukäteen että taulu pitää itse koota. Helppo homma ja sisälsi helpot ohjeet, onnistui jopa naiselta ilman työkaluja.",1
"Kahteen kertaan reklamoitu samasta asiasta ja reklamaatioiden käsittely on luvattoman hidasta. Kulmasohva tilattiin kaksi kuukautta sitten eikä vieläkään ole tullut täydellistä toimitusta. Luvataan ja luvataan mutta Ruotsin päässä laitetaan sitä sun tätä pakettiin. Mahdoton tilanne, joka ei ole vieläkään ratkennut.",0
"Viikko sitten muka maksettu kulta tilille, suoritusta ei vain näy. Saa nähdä tuleeko rahoja ollenkaan. Myin 18K kultaa 5g (kotona on tarkkuusvaaka), se oli arvioitu hyvityshinnan perusteella 2,5g:n painoiseksi. En todellakaan myy enää tänne.",0
Ihan hyvin toimi kaikki!,1
"Nopea ja luotettava! Korko kova, mutta eivät kysele turhia",1
"Reklamaation on hoidettu surkeesti.Tarvitaan:Kuittaus että tavara on tullut teille.Aikataulu, milloin korvaava tuote tulee.Nyt kaikki teiltä väärin lähetetyt tuotteet ovat tuleet ”ehkä” 3/6 kk viiveellä!Sen lisäksi olen itse joutunut niitä aina selvittelemään.",0
Toimitusaika kaikkea muuta kuin luvattu.Toukokuun alussa tilattu sohvaryhmä ja puolet tulematta edelleen.,0
"tuotteet toimitetaan myöhässä, väärään osoitteeseen, ja joskus tuotteita ei tule lainkaan. nytkin itlasin jo 1 vko sitten ja vielä eivät ole tulleet. otin yhteyttä muttakukaan ei ole edes vastannut",0
En ole saanut tilausta,0
Kauniit kukat ja täsmällisesti toimitettu. Kiitos!,1
Toimitus aika,0
"Yli viikko sitten tilattu tuotteet, mutta mitään ei ole vieläkään kuulunut. Tämä jo toinen kerta, kun näin käy.",0
"Yritys toimii hyvin ja luotettavasti, ystävällinen palvelu. Jos itse tuote olisi ollut laadukkaampi ja saatavilla olisi ollut enemmän kokoja, olisin antanut viisi tähteä.",1
"Yksi tuote oli ollut auki kuljetuksessa ja koko paketti oli sisältä sekä ulkoa yltäpäätä violetin shampoon peitossa. Pahviset kotelot imeneet väriä itseensä. Hyvitykseksi sain uuden shampoon tyhjentyneen tilalle ja 20€ lahjakortin. Olin ostanut tuotteita lähes 200€:lla, hyvitys ei tuntunut edes kohtuulliselta.",0
Jos hyvin käy marraskuussa pystyn vähentää 12 euroa,1
"Tuotteen piti saapua jouluksi, mutta jäi lahjat saamatta.",0
en saanut limiitti lainaa,0
"Värit onnistuivat kaikissa kolmessa tilaamassani tuotteessa hienosti; seinäkalenteri, kortit ja kirjanmuotoinen allakka.  Viikkoallakkaan (kirjan muotoinen) toivoisin näkymää, jossa on yleisnäkymä kullekin kuukaudelle ja pieni tila kirjoittaa. Eli kaikki 12 kk yhteen pötköön. Sinne voi merkitä tulevat tapahtumat ja ne näkee yhdellä silmäyksellä. Kalenterin alkuun ko. vuosi ja loppuun seuraava vuosi.",1
Yhtään lehteä ei ole näkynyt vaikka maksoin heti tilatessa 😤,0
Tuote ei ole vieläkään saapunut. Todella hidas toimitus.,0
"Tuotteet tilattu, sivuston mukaan lähetetty. Postilakko luultavasti (?) vaikeuttaa toimitusta. Mutta ei ole seurantamahdollisuuta.  Yllätyksesi tuli se, että tämä toimitetaan ulkomailta ... Tuskin tilaan toiste.",0
"Hyvä palvelu. En osaa sanoa hinnoista, en ole tehnyt kunnollista vertailua.",1
"En saanut koskaan tilaamaani tuotetta. Tästä ei myöskään minulle erikseen ilmoitettu. Kun aloin kyselemään tuotteen perään kerrottiin ettei sitä saakkaan. Rahojen takaisin saaminen oli myös taistelun takana. Rahat sain viimein takaisia sen jälkeen, kun otin yhteyttä klarnaan ja sieltä laitettiin viestiä 24shoppiin.",0
Tuotteen tilaamisesta on kulunut 14 vrk. En ole saanut tuotetta.,0
Toimitus kestä kauan ja te lähetätte renkaat ruoka kaupan postiin 🙄,0
"Lainan hakeminen tehty sujuvaksi, nopeaksi ja selkeäksi. Myönettyyn lainaan luotu helposti käytettävät verkkosivustot, jossa voi omaa lainaa koskevia asioita seurata ja hallinnoida. Todellinen vuosikorko inhimillinen. Uutena asiakkaana ajattelen, että laina tiliin voisi olla yhdistettynä instabankilla luottokortti, tälläistä ominaisuutta en ole sivustoilta löytänyt.",1
"Muuten hyvä, mutta lähetetty väärää tavaraa. Tilasin kantapääpehmusteen, sain lentosukat.",0
"Kaikki muu oli ihan 5 arvoista, mutta maksaminen kortinlukijan kauttaaiheutti lisätyötä. Toisaalta kyseessä on turvallisuusnäkökulma ja asian ollessa tiedossa ei enää aiheuta vaivaa.",1
"Hyvä palvelu, mutta onko mahdollista saada lähetyksiin asiakkaalle seurantakoodin, jolla voisi seurata lähetyksenkulkua?",1
sositelen kavereille,1
"Ihan o.k. sain lainatarjouksen, jonka hyväksyin.",0
"Ylätyin uudesta maksusta, plus että matkalaukut europaan maksaa 7€ enemmän kuin ostat ne travellinkin kautta kuin suoran finnairillta, ei hyvää.",0
"Kuvakirja ei ole vieläkään saapunut, eikä edes lähetystunnusta.Todellä pitkä toimitusaika verrattuna kilpailijoihin. :/",0
"Tuotteiden koot todella pieniä normitottumukseen, puku XXL on oikeasti L, jopa M. Saappaat kapeita ja superpieniä kokoja. No, itselleen hallaa tekee myykä, koska tuotteita palautetaan erittäin paljon, luulisin.",0
"Toimitusaika ei pitänyt, paketti lähetettiin normaalikirjeenä ilman että oli testattu mahtuuko se postiluukusta sisään ja ei mahtunut. Amatööritoimintaa.",0
Nopea toimitus,1
"Tilaamani kuvakirjan laatu oli hyvä mutta marraskuussa tilaamani valokuvat eivät olleet saapuneet vielä pari päivää ennen joulua, joten siksi huono kokemus. Toimitusajat kilpailijoihin verrattuna aivan liian pitkiä.",0
Hyvin toimii.,1
Kaikki toimi nopeasti. Tuotteet helppo valita ja katsoa miltä tulee näyttämään. Kokoaminen helppoa ja selkeät ohjeet. Siis kaikki toimi moitteettomasti.,1
"Tuote on kovin heppoinen, mitättömän oloinen.",0
Listaavat olemattomia osia eivätkä korjaa varastosaldojaan vaikka asiasta huomauttaisi. Aina saa arvuutella mitä milloinkin lähettävät,0
"Kirja oli yhtä valloittavan ihana kuin odotin! Hieno, erikoinen kohtuuhintainen lahja naperolle! Ainut miinus oli venynyt toimitusaika.",1
kyllä voin suositella koko suomella vieläpä ruotsalaisille kaikki toimii niin kun luvataan eritän hieno palvelu kotiin kuljetus toimii ja on nopea kiitos kaikkile teille sinne ja hyvää joulun odotusta tämä on se joka toimii kiitos klarna. tuo 5 tähteä ei riitä. ( en ole mielisteliä osaan sanoa suoraakin) kiitos,1
Toimiva ja helposti käytettävä verkkokauppa.,1
maksaminen kortilla huonoa.,0
Hyvä laatu. Kohtuulliset hinnat.,1
Nopea toimitus ja hyvää tavaraa!,1
Nopea toimitus.,1
Edulliset hinnat. . Luotettavat toimitukset,1
"Verkkokaupassa oli myynnissä pakettituote (sänky ja patja), jonka tilaus jäi ”käsittelyvaiheeseen” eikä sitä voitu lähettää senkään jälkeen kun olin ollut yhteydessä asiakaspalveluun. Tämän selvittely maksupalautuksineen viivästytti toimitusta. Tuote tuli lopulta kolmannen oston jälkeen perille, kun tilasin sängyn ja patjan erillisinä tuotteina. Asiakaspalvelu palautti ylimääräiset maksut nopeasti.Tuotteeseen ja kuljetukseen olen hyvin tyytyväinen.",0
Tuotteet ei ole edelleenkään tullut ja piti olla jouluksi.,0
"Tilasin ensimmäistä kertaa viikko sitten. Linssit tulivat parin päivän päästä kahdessa paketissa, ja mahtuivat näinollen suoraan laatikosta sisään, eikä tarvinnut postista hakea. ISO PLUSSA siitä! Käytän ehdottomasti uudestaankin :)",1
hyvin toimii kaikki,1
Silmälasit olivat ihan vinossa eikä paketti sisältänyt korjausvälineitä. En suosittele.,0
Miksi lehti ei vieläkään tule vaikka on tilattu jo kaksiviikkoa sitten,0
Kuvat olivat laadukkaita. Juuri sellaisia kuin halusimme! Tilaus tuli nopeasti!,1
Kannettava tuli nopeasti ja rikkinäinen akku vaihdettiin postin välityksellä ongelmitta.,1
"Hei, olen tehnyt tilauksen 2.6. ja oletin tuotteiden saapuvan viimeistään juhannukseksi perille. Toimitusajaksi ilmoitettiin 8-12 päivää. Tuotteet näyttävät olevan vieläkin Ruotsin varastossa, consingment date 12.6. Ei ole tämän jälkeen tapahtunut mitään.Terveisin, Anne Suokko",0
